  Riv# 800    Theta=   34.3392        Phi=  244.3816
  Riv# 801    Theta=   49.3708        Phi=  249.7292
  Riv# 802    Theta=   46.3482        Phi=  229.2142
  Riv# 804    Theta=   45.2846        Phi=  311.6648
  Riv# 805    Theta=   48.3844        Phi=  290.6179
  Riv# 806    Theta=   33.2035        Phi=  296.0157
  Riv# 808    Theta=   25.9279        Phi=  198.4469
  Riv# 809    Theta=   37.5550        Phi=  179.8505
  Riv# 810    Theta=   25.1099        Phi=  163.1138
  Riv# 812    Theta=   36.5876        Phi=    0.6486
  Riv# 813    Theta=   25.0807        Phi=  341.3320
  Riv# 814    Theta=   24.1489        Phi=   17.8283
  Riv# 816    Theta=   33.8606        Phi=  116.9087
  Riv# 817    Theta=   45.9653        Phi=  131.5646
  Riv# 818    Theta=   48.6324        Phi=  111.0129
  Riv# 820    Theta=   33.9715        Phi=   66.1928
  Riv# 821    Theta=   49.0845        Phi=   68.3968
  Riv# 822    Theta=   44.3397        Phi=   48.4692
  Riv# 824    Theta=   81.4843        Phi=  219.3262
  Riv# 825    Theta=   69.8261        Phi=  217.6122
  Riv# 826    Theta=   68.4417        Phi=  230.0746
  Riv# 827    Theta=   80.1267        Phi=  231.1931
  Riv# 828    Theta=   65.7011        Phi=  326.2873
  Riv# 829    Theta=   77.1878        Phi=  329.3560
  Riv# 830    Theta=   80.3768        Phi=  317.6713
  Riv# 831    Theta=   69.0293        Phi=  313.9599
  Riv# 832    Theta=   65.4149        Phi=  144.9694
  Riv# 833    Theta=   77.1333        Phi=  143.1873
  Riv# 834    Theta=   75.6912        Phi=  130.7417
  Riv# 835    Theta=   63.9172        Phi=  132.0251
  Riv# 836    Theta=   71.4937        Phi=   29.1339
  Riv# 837    Theta=   58.6599        Phi=   32.7391
  Riv# 838    Theta=   62.2538        Phi=   47.4059
  Riv# 839    Theta=   75.0749        Phi=   43.0499
  Riv#  40    Theta=   59.2335        Phi=  179.9337
  Riv#  41    Theta=   70.4317        Phi=  158.6643
  Riv#  42    Theta=   81.5749        Phi=  177.6364
  Riv#  43    Theta=   72.5485        Phi=  198.4877
  Riv#  44    Theta=   58.2075        Phi=   13.2036
  Riv#  45    Theta=   72.1975        Phi=  350.7307
  Riv#  46    Theta=   82.9589        Phi=   12.5534
