 800  0     -56.85428 -118.56635  192.47843
      1       0.55102   -0.77826   -0.30115
      2       0.55510    0.61129   -0.56409
      3       0.62310    0.14366    0.76884
 801  0     -61.11055 -165.46242  151.33758
      1       0.43343    0.84633   -0.30963
      2      -0.74055    0.13870   -0.65753
      3      -0.51354    0.51428    0.68687
 802  0    -109.77479 -127.23906  160.32054
      1      -0.91107   -0.06807   -0.40659
      2       0.31549   -0.74998   -0.58137
      3      -0.26536   -0.65794    0.70476
 804  0     108.96202 -122.44758  162.28865
      1       0.91395   -0.07665    0.39852
      2       0.31784    0.74576   -0.58551
      3      -0.25232    0.66179    0.70595
 805  0      60.44177 -160.65008  152.47637
      1      -0.42657    0.85260    0.30184
      2      -0.73762   -0.13481   -0.66163
      3      -0.52341   -0.50487    0.68640
 806  0      55.64915 -114.01814  193.85776
      1      -0.55898   -0.77596    0.29229
      2       0.55073   -0.61095   -0.56871
      3       0.61987   -0.15692    0.76885
 808  0     -99.07704  -33.04866  214.82679
      1       0.43764    0.76534   -0.47195
      2      -0.88309    0.46461   -0.06546
      3       0.16917    0.44542    0.87919
 809  0    -144.80434    0.37784  188.33888
      1      -0.82572   -0.03404   -0.56306
      2       0.04042   -0.99918    0.00114
      3      -0.56264   -0.02181    0.82642
 810  0     -96.94836   29.42961  216.19073
      1       0.49645   -0.73129   -0.46770
      2       0.84306    0.53457    0.05903
      3       0.20685   -0.42361    0.88191
 812  0     141.72125    1.60433  190.92638
      1       0.83164   -0.04753    0.55328
      2       0.05252    0.99860    0.00685
      3      -0.55283    0.02336    0.83297
 813  0      96.13401  -32.47981  216.81075
      1      -0.42785    0.77659    0.46245
      2      -0.88916   -0.45351   -0.06106
      3       0.16230   -0.43732    0.88454
 814  0      93.16180   29.96183  218.27154
      1      -0.50997   -0.72905    0.45653
      2       0.83598   -0.54509    0.06335
      3       0.20266    0.41396    0.88745
 816  0     -59.48765  117.21257  195.90058
      1       0.54340    0.78078   -0.30838
      2      -0.56338    0.61152    0.55556
      3       0.62235   -0.12815    0.77218
 817  0    -112.04723  126.35881  163.28520
      1      -0.90872    0.05978   -0.41310
      2      -0.31069   -0.75779    0.57378
      3      -0.27875    0.64975    0.70719
 818  0     -63.22537  164.59671  155.27179
      1       0.44013   -0.84056   -0.31583
      2       0.74575    0.14627    0.64997
      3      -0.50014   -0.52160    0.69122
 820  0      53.51153  121.28569  196.74792
      1      -0.65174    0.70093    0.28971
      2      -0.47487   -0.67496    0.56474
      3       0.59139    0.23049    0.77274
 821  0      65.67005  165.83657  154.58970
      1      -0.31582   -0.89538    0.31393
      2       0.75599   -0.03752    0.65351
      3      -0.57336    0.44372    0.68874
 822  0     109.49898  123.63192  169.00217
      1       0.89509    0.19444    0.40126
      2      -0.41005    0.71248    0.56942
      3      -0.17517   -0.67421    0.71746
 824  0    -195.49713 -160.16206   37.84102
      1      -0.70658   -0.08326   -0.70272
      2       0.69797   -0.24557   -0.67271
      3      -0.11655   -0.96580    0.23163
 825  0    -191.11746 -147.24499   88.64188
      1       0.08326   -0.70658   -0.70272
      2       0.24557    0.69797   -0.67271
      3       0.96580   -0.11655    0.23163
 826  0    -153.95123 -183.95799   94.77266
      1       0.70658    0.08326   -0.70272
      2      -0.69797    0.24557   -0.67271
      3       0.11655    0.96580    0.23163
 827  0    -158.33090 -196.87507   43.97180
      1      -0.08326    0.70658   -0.70272
      2      -0.24557   -0.69797   -0.67271
      3      -0.96580    0.11655    0.23163
 828  0     193.52790 -129.12885  105.04145
      1       0.54648   -0.37668    0.74798
      2       0.79369   -0.05205   -0.60609
      3       0.26723    0.92488    0.27052
 829  0     213.34112 -126.39091   56.39270
      1       0.37668    0.54648    0.74798
      2       0.05205    0.79369   -0.60609
      3      -0.92488    0.26723    0.27052
 830  0     184.59624 -168.13904   42.33618
      1      -0.54648    0.37668    0.74798
      2      -0.79369    0.05205   -0.60609
      3      -0.26723   -0.92488    0.27052
 831  0     164.78303 -170.87697   90.98492
      1      -0.37668   -0.54648    0.74798
      2      -0.05205   -0.79369   -0.60609
      3       0.92488   -0.26723    0.27052
 832  0    -190.64776  133.64461  106.52229
      1      -0.69680    0.05297   -0.71530
      2      -0.70788   -0.21159    0.67390
      3      -0.11565    0.97592    0.18493
 833  0    -193.43420  144.77406   55.18876
      1      -0.05297   -0.69680   -0.71530
      2       0.21159   -0.70788    0.67390
      3      -0.97592   -0.11565    0.18493
 834  0    -156.78241  182.00847   61.27193
      1       0.69680   -0.05297   -0.71530
      2       0.70788    0.21159    0.67390
      3       0.11565   -0.97592    0.18493
 835  0    -153.99597  170.87902  112.60546
      1       0.05297    0.69680   -0.71530
      2      -0.21159    0.70788    0.67390
      3       0.97592    0.11565    0.18493
 836  0     182.45600  101.69516   69.91678
      1       0.55949    0.33705    0.75721
      2      -0.78429   -0.08017    0.61519
      3       0.26805   -0.93807    0.21949
 837  0     164.72743  105.91203  119.25921
      1      -0.33705    0.55949    0.75721
      2       0.08017   -0.78429    0.61519
      3       0.93807    0.26805    0.21949
 838  0     135.29803  147.16582  105.15973
      1      -0.55949   -0.33705    0.75721
      2       0.78429    0.08017    0.61519
      3      -0.26805    0.93807    0.21949
 839  0     153.02660  142.94895   55.81730
      1       0.33705   -0.55949    0.75721
      2      -0.08017    0.78429    0.61519
      3      -0.93807   -0.26805    0.21949
  40  0    -137.85360    0.15942   82.06820
      1       0.27783   -0.40231   -0.87233
      2       0.82661    0.56276    0.00373
      3       0.48941   -0.72211    0.48891
  41  0    -141.46769   55.25763   53.98610
      1      -0.43775    0.11381   -0.89186
      2      -0.76302   -0.57172    0.30155
      3      -0.47558    0.81252    0.33711
  42  0    -158.56703    6.54511   23.50611
      1      -0.12733    0.12229   -0.98429
      2      -0.83002   -0.55643    0.03824
      3      -0.54301    0.82185    0.17236
  43  0    -145.83036  -48.75933   48.33905
      1      -0.00775   -0.40237   -0.91545
      2       0.77309    0.57824   -0.26070
      3       0.63425   -0.70974    0.30659
  44  0     120.48771   28.26806   76.71167
      1      -0.07753    0.50578    0.85917
      2      -0.90448   -0.39822    0.15280
      3       0.41942   -0.76525    0.48834
  45  0     135.86329  -22.17374   44.20482
      1       0.24784   -0.22511    0.94228
      2       0.87748    0.46439   -0.11986
      3      -0.41060    0.85655    0.31262
  46  0     141.11306   31.42204   17.85602
      1      -0.07079   -0.22979    0.97066
      2       0.87832    0.44688    0.16985
      3      -0.47280    0.86458    0.17020
